,Full_time,Part_time,Full_time_year_round,Unemployment_rate,College_jobs,Non_college_jobs,Low_wage_jobs
0,1.0310519985279612e-33,1.5055924261900996e-34,6.730555771894261e-34,0.018380527,8.553995488057825e-34,2.0297616412340604e-34,1.076219771313664e-34
1,7.535205098774257e-29,2.3039296165316965e-29,5.258380536554697e-29,0.117241379,4.743384504624081e-29,3.482999479109683e-29,6.776263578034405e-30
2,6.596432676411255e-29,1.572268003517378e-29,4.0193317383151007e-29,0.024096386,5.390633154916724e-29,2.0805952527748758e-29,0.0
3,2.2522492099938777e-29,3.160312268466619e-30,1.457957393185934e-29,0.050125313,1.1145367933458947e-29,2.1490123425573015e-30,0.0
4,7.190798450104116e-45,1.6076105296305273e-45,5.181905987112147e-45,0.061097712,5.683741165956269e-45,1.3779518825404524e-45,3.0165973644804496e-46
5,2.250470054946221e-33,2.915231081971554e-34,1.6000643324912044e-33,0.177226407,1.26105829379224e-33,7.254950078997388e-34,2.694380242428254e-34
6,2.290194098578616e-35,2.318390742747163e-36,1.9440019673981274e-35,0.095652174,1.3847685247219535e-35,2.4593739635898954e-36,2.0285918999037676e-36
7,1.0383167698934981e-32,5.292066117521702e-33,7.914174826745833e-33,0.021167415,9.301787099875393e-33,4.7848699073433105e-33,2.1053427592310565e-33
8,1.3690676033793878e-49,2.51566028105604e-50,1.0491806892345699e-49,0.057342277999999997,1.0147130134503121e-49,3.1460635100238274e-50,6.246426146305853e-51
9,1.0793044099354495e-48,2.47101343266556e-49,8.060817588576512e-49,0.059173845,8.920368224153599e-49,2.1165655822611504e-49,6.170234408467762e-50
10,7.080415291221734e-46,1.2019072105765148e-46,5.516954959391343e-46,0.065409275,5.534004945083548e-46,1.336205043083607e-46,2.2889021888165267e-47
11,2.650802055501254e-41,6.501697099932842e-42,2.098014592819739e-41,0.065162085,1.9533733137243164e-41,5.788037983603944e-42,8.878969607837803e-43
12,8.563703942866338e-41,2.5585691939760363e-41,5.685076167461228e-41,0.09208386,6.11530328137034e-41,2.3467796875704465e-41,7.493359666099079e-42
13,5.317585069078967e-36,1.6971427446933234e-36,3.8021409781455216e-36,0.023042836,5.0759645188663646e-36,7.55789081065022e-37,1.5657011653776674e-37
14,2.2235384725713996e-36,6.012969994182746e-37,1.4858189726685845e-36,0.006334343,1.8083395580532327e-36,7.021310215155437e-37,1.9499520449692503e-37
15,1.1057525524950595e-38,4.0196284355594924e-39,6.918301487929677e-39,0.087143069,7.30343986551732e-39,3.233135327643666e-39,1.0621711045048788e-39
16,1.1142390779979412e-42,1.6797084830629627e-43,8.481666642519448e-43,0.042875544,6.220088569024062e-43,2.4225844595223743e-43,4.792748235222008e-44
17,2.7369008804188424e-47,4.77821012201655e-48,2.2261587372195455e-47,0.059824231,1.7853076241422583e-47,7.788236917869454e-48,2.1186340754933783e-48
18,6.899433982930743e-35,1.0393086763922902e-35,5.599540623827849e-35,0.061930782999999996,5.045040659455287e-35,1.9665053381300182e-35,4.151174596668913e-36
19,1.7951424905688108e-30,4.954415537089662e-31,1.7951424905688108e-30,0.011689692,8.931278232780466e-31,1.1730634096786282e-30,3.199263844578077e-31
20,7.289118919890145e-51,1.4920046006871385e-51,5.65154706482645e-51,0.063172771,5.467496513315862e-51,2.0450326864165748e-51,4.098510982556146e-52
22,4.022896731682965e-40,1.0006488151981665e-40,3.0350698980997246e-40,0.087557114,2.738561573254566e-40,1.4349934424037774e-40,3.7183746683284786e-41
23,8.723843978531763e-35,5.472133738041635e-35,6.056178781236464e-35,0.027788805,1.0055045743651504e-34,1.6048084520218256e-35,3.683166939066486e-36
24,6.502597833191805e-43,1.0393162113680847e-43,5.590404596437338e-43,0.058239614,2.723695624998509e-43,2.4655844501918075e-43,3.0406441225148916e-44
25,4.078641826824582e-47,1.0733828420028143e-47,3.108976731658152e-47,0.07060957400000001,3.037630848310743e-47,9.962866934303902e-48,3.087040534688649e-48
26,7.182683448589481e-43,8.015856417132049e-44,5.636735583332203e-43,0.060023041,1.4992535560312653e-43,2.4496200849842135e-43,3.2182450378319976e-44
27,9.35730565591554e-41,1.1484274915393802e-41,7.498270451944354e-41,0.047858702999999995,1.423156975990474e-41,3.522944519692655e-41,2.7667103557795713e-42
28,1.793164096032873e-39,4.375625792991681e-40,1.4416923491228914e-39,0.074392523,9.06981399329503e-40,6.387044629240567e-40,9.609527162707364e-41
29,2.4234380066844366e-37,7.602714476891363e-38,1.6160134293913032e-37,0.128426299,9.02312973903646e-38,1.0891790801120782e-37,1.9792671685628356e-38
30,1.432585212945858e-35,5.588524530367651e-36,1.1723883181448698e-35,0.093588575,1.2186588975898493e-35,4.987607914199086e-36,1.5623832020382686e-36
31,2.7321194052993046e-35,8.340408818126807e-36,2.0857074591629162e-35,0.055030385,1.2310879198889646e-35,1.5361362540207433e-35,1.718923152647325e-36
32,1.5927841914683633e-35,8.294293471433596e-36,9.328165103767865e-36,0.089375,5.387015347425944e-36,1.3323729156548437e-35,5.8689705444539476e-36
33,1.3425329768641228e-28,3.2282281504748e-29,1.0145859901492226e-28,0.075038285,1.2836050026887895e-28,1.2810429168550793e-29,1.2554220585179775e-29
34,2.2264988758835904e-53,6.011021232468625e-54,1.8086520523006983e-53,0.04486272400000001,2.233155207886814e-53,3.850364083103646e-54,9.120058428310596e-55
35,2.196374952923212e-52,3.4179563383814573e-53,1.729362011678397e-52,0.060686356,3.8606679174105056e-53,7.715125132813048e-53,1.578155305099951e-53
36,6.195703611728768e-51,1.6248427927452544e-51,4.5386526814925703e-51,0.099092317,1.641331819309343e-51,2.3775636474140536e-51,6.834926069542033e-52
37,3.839336542401252e-41,7.40126879242757e-42,3.056796610192079e-41,0.096448381,6.029531313603877e-42,1.7622432457757335e-41,4.9061585593582875e-42
38,3.107931336467293e-37,4.6525451551428636e-38,2.5265580222735613e-37,0.028308097,1.0863731903298412e-37,1.912453234626564e-37,3.740739823230443e-38
39,2.4796473013996874e-33,1.0314050197632321e-33,1.98621173926771e-33,0.07154047,2.885796428353085e-34,2.6274998344572834e-33,2.20888121676409e-34
40,5.94554959415734e-53,1.0834595991958727e-53,4.8188580281427245e-53,0.069749014,4.466781585245108e-54,1.5384711594691547e-53,4.2590334008039105e-54
41,1.815897596767392e-48,7.0755000435263e-49,1.3203895152856369e-48,0.047277137999999996,1.3619525500011899e-48,5.803561598841279e-49,1.7881497703894937e-49
42,2.656633608496281e-45,4.367897674209006e-46,2.1305096457995457e-45,0.093460326,1.3454576769308628e-45,1.1880641342383362e-45,1.6858552426771606e-46
43,7.140435975465607e-45,3.205257470765678e-45,5.288435930151054e-45,0.048224496,6.863315905180398e-45,1.6818321506964495e-45,6.70013114230688e-46
