Full_time,Part_time,Full_time_year_round,Unemployment_rate,College_jobs,Non_college_jobs,Low_wage_jobs
1.03E-33,1.51E-34,6.73E-34,0.018380527,8.55E-34,2.03E-34,1.08E-34
7.54E-29,2.30E-29,5.26E-29,0.117241379,4.74E-29,3.48E-29,6.78E-30
6.60E-29,1.57E-29,4.02E-29,0.024096386,5.39E-29,2.08E-29,0
2.25E-29,3.16E-30,1.46E-29,0.050125313,1.11E-29,2.15E-30,0
7.19E-45,1.61E-45,5.18E-45,0.061097712,5.68E-45,1.38E-45,3.02E-46
2.25E-33,2.92E-34,1.60E-33,0.177226407,1.26E-33,7.25E-34,2.69E-34
2.29E-35,2.32E-36,1.94E-35,0.095652174,1.38E-35,2.46E-36,2.03E-36
1.04E-32,5.29E-33,7.91E-33,0.021167415,9.30E-33,4.78E-33,2.11E-33
1.37E-49,2.52E-50,1.05E-49,0.057342278,1.01E-49,3.15E-50,6.25E-51
1.08E-48,2.47E-49,8.06E-49,0.059173845,8.92E-49,2.12E-49,6.17E-50
7.08E-46,1.20E-46,5.52E-46,0.065409275,5.53E-46,1.34E-46,2.29E-47
2.65E-41,6.50E-42,2.10E-41,0.065162085,1.95E-41,5.79E-42,8.88E-43
8.56E-41,2.56E-41,5.69E-41,0.09208386,6.12E-41,2.35E-41,7.49E-42
5.32E-36,1.70E-36,3.80E-36,0.023042836,5.08E-36,7.56E-37,1.57E-37
2.22E-36,6.01E-37,1.49E-36,0.006334343,1.81E-36,7.02E-37,1.95E-37
1.11E-38,4.02E-39,6.92E-39,0.087143069,7.30E-39,3.23E-39,1.06E-39
1.11E-42,1.68E-43,8.48E-43,0.042875544,6.22E-43,2.42E-43,4.79E-44
2.74E-47,4.78E-48,2.23E-47,0.059824231,1.79E-47,7.79E-48,2.12E-48
6.90E-35,1.04E-35,5.60E-35,0.061930783,5.05E-35,1.97E-35,4.15E-36
1.80E-30,4.95E-31,1.80E-30,0.011689692,8.93E-31,1.17E-30,3.20E-31
7.29E-51,1.49E-51,5.65E-51,0.063172771,5.47E-51,2.05E-51,4.10E-52
4.02E-40,1.00E-40,3.04E-40,0.087557114,2.74E-40,1.43E-40,3.72E-41
8.72E-35,5.47E-35,6.06E-35,0.027788805,1.01E-34,1.60E-35,3.68E-36
6.50E-43,1.04E-43,5.59E-43,0.058239614,2.72E-43,2.47E-43,3.04E-44
4.08E-47,1.07E-47,3.11E-47,0.070609574,3.04E-47,9.96E-48,3.09E-48
7.18E-43,8.02E-44,5.64E-43,0.060023041,1.50E-43,2.45E-43,3.22E-44
9.36E-41,1.15E-41,7.50E-41,0.047858703,1.42E-41,3.52E-41,2.77E-42
1.79E-39,4.38E-40,1.44E-39,0.074392523,9.07E-40,6.39E-40,9.61E-41
2.42E-37,7.60E-38,1.62E-37,0.128426299,9.02E-38,1.09E-37,1.98E-38
1.43E-35,5.59E-36,1.17E-35,0.093588575,1.22E-35,4.99E-36,1.56E-36
2.73E-35,8.34E-36,2.09E-35,0.055030385,1.23E-35,1.54E-35,1.72E-36
1.59E-35,8.29E-36,9.33E-36,0.089375,5.39E-36,1.33E-35,5.87E-36
1.34E-28,3.23E-29,1.01E-28,0.075038285,1.28E-28,1.28E-29,1.26E-29
2.23E-53,6.01E-54,1.81E-53,0.044862724,2.23E-53,3.85E-54,9.12E-55
2.20E-52,3.42E-53,1.73E-52,0.060686356,3.86E-53,7.72E-53,1.58E-53
6.20E-51,1.62E-51,4.54E-51,0.099092317,1.64E-51,2.38E-51,6.83E-52
3.84E-41,7.40E-42,3.06E-41,0.096448381,6.03E-42,1.76E-41,4.91E-42
3.11E-37,4.65E-38,2.53E-37,0.028308097,1.09E-37,1.91E-37,3.74E-38
2.48E-33,1.03E-33,1.99E-33,0.07154047,2.89E-34,2.63E-33,2.21E-34
5.95E-53,1.08E-53,4.82E-53,0.069749014,4.47E-54,1.54E-53,4.26E-54
1.82E-48,7.08E-49,1.32E-48,0.047277138,1.36E-48,5.80E-49,1.79E-49
2.66E-45,4.37E-46,2.13E-45,0.093460326,1.35E-45,1.19E-45,1.69E-46
7.14E-45,3.21E-45,5.29E-45,0.048224496,6.86E-45,1.68E-45,6.70E-46
5.66E-42,1.31E-42,4.43E-42,0.03698279,2.73E-42,3.53E-42,4.93E-43
1.04E-40,1.67E-41,8.42E-41,0.060741445,5.01E-41,4.68E-41,6.94E-42
3.93E-37,2.27E-37,2.65E-37,0.086273666,2.83E-37,1.48E-37,4.23E-38
1.24E-36,4.22E-37,9.31E-37,0.090823307,8.75E-37,2.88E-37,1.28E-37
1.50E-31,1.21E-31,1.29E-31,0.085531575,1.37E-31,1.09E-31,2.12E-32
8.48E-33,1.66E-33,7.00E-33,0.056994819,2.02E-33,4.37E-33,8.17E-34
4.99E-34,1.16E-34,3.40E-34,0.03365166,1.21E-34,2.12E-34,6.14E-35
1.47E-40,1.07E-40,1.12E-40,0.042506527,5.44E-41,1.81E-40,3.30E-41
3.51E-28,0,2.35E-28,0,2.71E-28,4.02E-29,1.50E-29
7.32E-36,1.10E-36,5.61E-36,0.11398259,4.63E-36,2.36E-36,6.01E-37
3.76E-35,1.08E-35,2.41E-35,0.075236167,2.09E-35,1.40E-35,2.06E-36
1.90E-29,4.30E-30,1.74E-29,0.107579462,1.62E-29,7.04E-30,0
4.83E-44,1.44E-44,3.51E-44,0.096798943,1.75E-44,2.47E-44,6.46E-45
1.46E-53,3.08E-54,1.17E-53,0.072861468,2.49E-54,8.56E-54,2.32E-54
3.96E-46,1.38E-46,2.71E-46,0.113331949,2.19E-46,1.86E-46,5.71E-47
1.04E-43,2.88E-44,7.56E-44,0.096175064,1.99E-44,5.59E-44,1.80E-44
4.69E-43,2.00E-43,3.42E-43,0.055520827,4.33E-43,1.68E-43,4.19E-44
1.88E-41,9.13E-42,1.23E-41,0.084361164,1.44E-41,6.26E-42,2.32E-42
1.76E-42,4.42E-43,1.40E-42,0.071982974,2.94E-43,1.17E-42,2.31E-43
1.12E-41,2.21E-42,9.14E-42,0.050030836,1.93E-42,6.25E-42,1.37E-42
2.79E-40,7.46E-41,2.16E-40,0.019642463,8.89E-41,1.73E-40,3.08E-41
1.65E-39,2.93E-40,1.38E-39,0.05253852,5.77E-40,9.20E-40,9.11E-41
6.04E-37,3.57E-38,5.22E-37,0.056357078,2.69E-37,3.07E-37,5.87E-38
8.83E-35,4.19E-35,7.35E-35,0.034117647,8.28E-35,3.35E-35,9.93E-36
3.52E-35,1.46E-35,2.47E-35,0.073079538,1.20E-35,2.67E-35,9.24E-36
2.67E-35,1.06E-35,1.62E-35,0.047179487,1.02E-35,2.02E-35,3.83E-36
1.41E-34,9.37E-35,1.21E-34,0.108786611,4.79E-35,1.05E-34,2.33E-35
3.55E-34,1.21E-34,2.98E-34,0.077249576,1.04E-34,1.74E-34,1.83E-35
1.72E-31,9.76E-32,1.46E-31,0.035353535,1.18E-31,1.04E-31,6.01E-32
1.12E-47,4.28E-48,8.50E-48,0.0539724,8.63E-48,4.18E-48,1.22E-48
